rank,url,clicks,post_id
275,https://www.afriquesports.net/cameroun/alexandre-song-choque-avec-ses-declarations-sur-cameroun-gabon,65,870817
278,https://www.afriquesports.net/football/tres-mauvaise-nouvelle-pour-le-barca-et-pedri-juste-avant-2026,65,870211
279,https://www.afriquesports.net/classement/modric-8e-pirlo-5e-xavi-3e-les-10-meilleurs-milieux-de-terrain-de-tous-les-temps,64,453902
280,https://www.afriquesports.net/football/fifa-the-best-2023-lionel-messi-lemporte-devant-haaland-au-forceps,64,787063
282,https://www.afriquesports.net/football/can-2025-le-coup-de-gueule-de-vladimir-petkovic-sur-la-presence-de-zinedine-zidane,63,871920
283,https://www.afriquesports.net/football/van-dijk-31e-pique-44e-ramosles-50-meilleurs-defenseurs-de-lhistoire-ranker,63,440154
285,https://www.afriquesports.net/can-2025/en-direct-can-2025-senegal-vs-rdc-groupe-d,62,871671
286,https://www.afriquesports.net/can-2025/emmanuel-macron-balance-cash-sur-la-can-au-maroc,61,870639
287,https://www.afriquesports.net/can-2025/en-direct-can-2025-cameroun-vs-gabon-groupe-f-suivez-le-match-en-direct,61,871392
288,https://www.afriquesports.net/football/accuse-dadultere-vinicius-jr-brise-le-silence-publiquement,61,862778
290,https://www.afriquesports.net/algerie/ca-chauffe-avant-le-match-algerie-rd-congo-fait-trembler-la-can-2025,60,872354
291,https://www.afriquesports.net/football/barca-pedri-inquiete-avant-les-prochains-matchs-de-lespagne,60,863111
292,https://www.afriquesports.net/football/barca-retour-de-messi-pedri-tranche-et-fait-son-choix,60,871264
294,https://www.afriquesports.net/europe/coup-de-tonnerre-a-madrid-ultimatum-lance-a-vinicius,59,854327
295,https://www.afriquesports.net/europe/tragedie-en-indonesie-deces-dun-ancien-footballeur-espagnol-dans-un-naufrage,59,871865
297,https://www.afriquesports.net/afrique/can-2025-alexandre-song-balance-ses-verites-et-choque-avant-cameroun-gabon,58,871084
298,https://www.afriquesports.net/afrique/can-2025-senegal-cest-confirme,58,868604
300,https://www.afriquesports.net/classement/classement-fifa-le-top-20-africain-devoile-lalgerie-4e-la-cote-divoire-7e,58,867451
303,https://www.afriquesports.net/europe/barca-real-enorme-surprise-dans-le-onze-de-xabi-alonso,58,863880
306,https://www.afriquesports.net/football/ngannou-ferreira-cinq-choses-a-savoir-sur-le-combat,58,828863
309,https://www.afriquesports.net/algerie/can-2025-le-coup-de-gueule-de-vladimir-petkovic-sur-la-presence-de-zinedine-zidane,57,871920
310,https://www.afriquesports.net/classement/tchouameni-vinicius-jr-mbappe-voici-la-liste-des-grandes-stars-de-football-dorigine-camerounaise,57,834742
